"property","value"
"http://dbpedia.org/ontology/abstract","Marcia Stephens Bloom Bernicat (born 1953) is an American diplomat who is the current Director General of the Foreign Service. She is a former United States Ambassador to Bangladesh. She served as Ambassador to Senegal and Guinea-Bissau from 2008 to 2011. From January 1, 2019, to April 3, 2020, she was Principal Deputy Assistant Secretary in the Bureau of Oceans and International Environmental and Scientific Affairs at the Department of State."
"http://dbpedia.org/ontology/abstract","Michelle LaVaughn Robinson Obama (born January 17, 1964) is an American attorney and author who served as first lady of the United States from 2009 to 2017. She was the first African-American woman to serve in this position. She is married to former President Barack Obama. Raised on the South Side of Chicago, Obama is a graduate of Princeton University and Harvard Law School. In her early legal career, she worked at the law firm Sidley Austin where she met Barack Obama. She subsequently worked in nonprofits and as the associate dean of Student Services at the University of Chicago as well as the vice president for Community and External Affairs of the University of Chicago Medical Center. Michelle married Barack in 1992, and together they have two daughters. Obama campaigned for her husband's presidential bid throughout 2007 and 2008, delivering a keynote address at the 2008 Democratic National Convention. She has subsequently delivered acclaimed speeches at the 2012, 2016, and 2020 conventions. As first lady, Obama served as a role model for women and worked as an advocate for poverty awareness, education, nutrition, physical activity, and healthy eating. She supported American designers and was considered a fashion icon. After her husband's presidency, Obama's influence has remained high. In 2020, Obama topped Gallup's poll of the most admired woman in America for the third year running."
"http://dbpedia.org/ontology/abstract","Thad William Allen (born 16 January 1949) is a former admiral of the United States Coast Guard who served as the 23rd commandant from 2006 to 2010. Allen is best known for his widely praised performance directing the federal response to hurricanes Katrina and Rita in the Gulf Coast region from September 2005 to January 2006, and for his role as National Incident Commander of the Unified Command for the Deepwater Horizon oil spill in the Gulf of Mexico in 2010. Robert J. Papp Jr. succeeded him as Commandant on 25 May 2010. Allen remained on active duty for 36 days after being succeeded as commandant while serving as Deepwater Horizon National Incident Commander. He officially retired from the U.S. Coast Guard on 30 June 2010, but continued to serve as National Incident Commander for an additional three months. He has worked as an Executive Vice President at Booz Allen Hamilton since November 2011."
"http://dbpedia.org/ontology/abstract","Wenceslao Benitez Inglott OAX (30 April 1879 – 22 December 1954) was a distinguished Spanish navy officer, scientist, and engineer."
"http://dbpedia.org/ontology/abstract","Álvaro Uribe Vélez CYC (born 4 July 1952) is a Colombian politician who served as the 31st President of Colombia from 7 August 2002 to 7 August 2010. Uribe started his political career in his home department of Antioquia. He held offices in the Public Enterprises of Medellín and in the Ministry of Labor and was the director of the Special Administrative Unit of Civil Aeronautics (1980–1982). He became the Mayor of Medellín in October 1982. He was a senator between 1986 and 1994 and finally the Governor of Antioquia between 1995 and 1997 before being elected President of Colombia in 2002. Following his 2002 election, Uribe led an all-out military offensive against leftist guerrilla groups such as the FARC and the ELN with funding and backing from the Clinton and Bush administrations in the form of a 2.8 billion dollars direct foreign aid package called ""Plan Colombia"", as well as leading a controversial effort to demobilize the right-wing paramilitary group known as the AUC, all of which are part of the Colombian Armed Conflict. His role in the conflict was accompanied by large-scale alleged exactions: thousands of civilians were killed by the Colombian army, as part of the ""False positives"" scandal, with almost total impunity. Their deaths are being investigated by the United Nations. Millions of people have been victims of forced displacement. In August 2010, Uribe was appointed vice-chairman of the UN panel investigating the Gaza flotilla raid. In 2012 Uribe and a group of political allies founded the right-wing Democratic Center movement to contest the 2014 national elections. He was elected senator in the 2014 parliamentary election and took office in July 2014. Uribe was critical of his successor Juan Manuel Santos's peace talks with the FARC guerrillas. In August 2020, the Supreme Court of Justice of Colombia ordered his arrest as part of an investigation into bribery and witness tampering. He was released from house arrest on 10 October. The case went to the Fiscalía General de la Nación, after which Uribe resigned from his Senate seat. A number of his political opponents have claimed for years that Uribe should be prosecuted, alleging he has ties with paramilitarism."
"http://dbpedia.org/ontology/abstract","
*  Datos: Q6292991"
"http://dbpedia.org/ontology/abstract","
*  Datos: Q946718"
"http://dbpedia.org/ontology/abstract","
*  Wikimedia Commons alberga una categoría multimedia sobre Charles Adams Mosher. Charles Adams Mosher (7 de mayor de 1906 – 16 de noviembre de 1984) fue un Representante estadounidense por Ohio.Charles Adams Mosher nació en Sandwich, Illinois. Se graduó por el Instituto de Estudios Secundarios de Sandwich y el Oberlin College en 1928. Fue empleado en la prensa diaria en Aurora, Illinois, y Janesville, Wisconsin de 1929 a 1940. Fue presidente y gerente de la compañía de impresión Oberlin (Oberlin Printing Company) y redactor-editor del Oberlin News-Tribune desde 1940 a 1961. Fue concejal del Ayuntamiento de Oberlin, desde 1945 a 1951. Fue miembro del Senado del Estado de Ohio desde 1951 a 1960, miembro de la Comisión de Administración Legislativa de Ohio desde 1947 hasta 1959, y vicepresidente de la Comisión de Encuesta Escolar de Ohio desde 1954 a 1955. Fue delegado de la Conferencia de la Casa Blanca sobre la Educación en 1955, Director de la Mejora y el Desarrollo de la Corporación Oberlin y miembro de la Comisión Presidencial sobre Ciencias del Mar, Ingeniería y Recursos, desde 1967 hasta 1969. En 1961 figuraba en la lista del Comité de Ciencia y Astronáutica. Dicho Comité estaba presidido por Overton Brooks, y por lo tanto contribuyó a lo que ahora se conoce como el 'Informe Brookings' (1961). El informe aborda las implicaciones a largo plazo para la sociedad americana de la exploración del espacio. Mosher fue elegido como republicano en el  Congreso y para los siete congresos siguientes. No se presentó para la reelección en 1976. Fue Director Ejecutivo del Comité de Ciencia y Tecnología en Washington, DC, desde 1977 a 1979. Fue socio del Centro Internacional para Académicos Woodrow Wilson en el Instituto Smithsoniano en 1980. Recibió su doctorado por la Universidad de Oberlin en 1982. Residió en Oberlin, Ohio, hasta su muerte, el 16 de noviembre 1984."
"http://dbpedia.org/ontology/abstract","' Anna Elizabeth Burke' AO (1 de enero de 1966) es una expolítica australiana y actual miembro del Tribunal de Apelaciones Administrativas. Fue miembro de la Cámara de Representantes de Australia desde octubre de 1998 hasta mayo de 2016, en representación de la División de Chisholm, Victoria. Desde octubre de 2012 hasta noviembre de 2013, fue Presidenta de la Cámara de Representantes de Australia ."
"http://dbpedia.org/ontology/abstract","'Akosita Havili Lavulavu (n. 1985) es una política tongana. Es la actual Ministra de Infraestructura y Turismo de Tonga desde el 9 de octubre de 2019.​"
"http://dbpedia.org/ontology/abstract","'Felipe Salido Zayas'. Fue un destacado ingeniero militar, distinguido maestro y político mexicano. Nació en Álamos, Sonora, el 20 de mayo de 1863. Sus padres fueron el terrateniente y empresario Francisco Salido Obregón y Carmen Zayas y uno de sus hermanos, el mayor, fue , militar de carrera, también constructor, Prefecto de Álamos y fundador de Nacional Financiera. Su infancia transcurrió en su tierra natal, con instrucción privada de alta calidad, donde su familia, particularmente su padre y la rama paterna, tenían gran renombre y poder en el lugar y provenían de un antiguo linaje que se remonta un milenio en Úbeda, España y otros lugares de Europa."
"http://dbpedia.org/ontology/abstract","'Muamar Muhamad Abu-minyar el Gadafi​ —aunque existen otras formas de transliterar su nombre (como Mouammar o Muammar Kadhafi, por ejemplo)— (en árabe: مُعَمَّر القَذَّافِي, tr. Mu‘ammar al-Qaḏḏāfī, pronunciado:   (?·i); Sirte, Libia, 7 de junio de 1942-ibidem, 20 de octubre de 2011)​​ fue un militar, político y dictador​​​​   libio que gobernó su país durante 42 años, desde el 1 de septiembre de 1969​ hasta el día de su muerte en 2011. Durante su estancia de varias décadas en el poder, promovió la «tercera teoría universal» y la yamahiriya como la ideología y el Estado socialista ideales para el tercer mundo, respectivamente. Aunque desde 1979 oficialmente no ocupó ningún cargo público, se le atribuyó el título honorífico de «líder de la Revolución» o «hermano líder y guía de la Revolución», según declaraciones del gobierno y funcionarios de prensa.​ Tras titularse como licenciado en Derecho,​ lideró la Revolución del 1 de septiembre en 1969 que derrocó al rey Idris I de Libia, sustituyendo el Reino de Libia por la República Árabe Libia. Como parte de su programa socialista de gobierno, Gadafi nacionalizó en la década de 1970 toda empresa privada, incluyendo la tierra, la industria petrolera y los bancos, y permitiendo solo los pequeños negocios familiares.​ Por la edad con la que tomó el poder, su imagen de militar rebelde y sus políticas izquierdistas anticolonialistas y antioccidentales y de distribución de la riqueza, fue calificado frecuentemente como el «Che Guevara árabe».​ Gobernó su país durante 42 años. Su gobierno se caracterizó por violaciones permanentes a los derechos humanos, censura, tortura, persecución a sus opositores políticos y por su ferocidad contra los civiles.​​​​ Quiso ser el sucesor del líder egipcio Gamal Abdel Nasser, como cabeza visible del panarabismo y del socialismo árabe e intentó en más de una ocasión, sin éxito, unificar a Libia con alguno de estos países árabes: Egipto, Sudán, Siria e Irak, llegando incluso a formar la Federación de Repúblicas Árabes entre 1972 y 1977. Adicionalmente, Gadafi hizo intentos por unificar Libia con Túnez, Argelia, Marruecos y Chad. Asimismo, quiso posicionarse como sucesor del entonces presidente yugoslavo Josip Broz Tito y del político indio Sri Pandit Jawaharlal Nehru dentro del Movimiento de Países No Alineados, para convertirse en el líder de esta organización de Estados tercermundistas no alineados ni con el capitalismo estadounidense ni con el socialismo soviético. En su ejercicio del poder tuvo varias metamorfosis en su alineación geopolítica. Al inicio de su régimen preservó cierta cercanía con Francia, pero al poco tiempo se alineó con la extinta superpotencia Unión de Repúblicas Socialistas Soviéticas.​​ Abrazó sucesivamente el panarabismo, el anticapitalismo, el pro-sovietismo, el panislamismo, el intervencionismo belicista y un panafricanismo pacifista que le convirtió en el artífice de la Unión Africana.​ Especialmente en la década de los 80, fue objeto de varios intentos de derrocamiento por parte del gobierno de los Estados Unidos.​ Durante un bombardeo estadounidense a Trípoli, ejecutado en 1986, bajo la administración de Ronald Reagan,​ Hana, una de los hijos de Gadafi, resultó muerta.​ Por otra parte, Gadafi fue beligerante al enviar alrededor de 3000 militares libios en respaldo del dictador ugandés Idi Amin durante la guerra Uganda-Tanzania, a finales de los 70. Entre la década de los 70 y 80, Gadafi intervino militarmente en su vecino sureño Chad, ordenó la invasión y anexión de la Franja de Aouzou chadiana debido a sus potenciales depósitos de uranio, y trató de derrocar al entonces presidente Hissène Habré durante la guerra de los Toyota. Entre el final de la década de 1990 y el inicio de los años 2000, al abandonar el patrocinio del terrorismo en terceros países y el desarrollo de armas de destrucción masiva,​ consigue la rehabilitación por parte de las potencias occidentales, que sacaron a su país de la categoría de «Estado paria» a la de miembro pleno de la «comunidad internacional», tránsito que se salda con la visita a Trípoli de políticos occidentales de Estados Unidos, Reino Unido, Francia, Italia y Alemania. Por esa razón Muamar el Gadafi ha sido calificado tanto de líder hábil y coronel revolucionario e idealista, como de dirigente imprevisible, temido y déspota.​ Asimismo, para mejorar la situación económica de Libia, Gadafi permitió durante la década del 2000 el ingreso de petroleras extranjeras.​ En febrero de 2011, las protestas de los opositores al gobierno de Gadafi fueron duramente reprimidas, agudizando el conflicto que desembocó en una rebelión de gran escala y un grave conflicto armado alentado y apoyado por la OTAN y otros países afines (Guerra de Libia de 2011). Las tropas opositoras lograron dominar gran parte del territorio libio en unos meses y capturaron la capital el 22 de agosto de 2011, tras lo cual Gadafi huyó a Sirte continuando desde allí un gobierno paralelo al del Consejo Nacional de Transición. Después de varias semanas sitiado, Gadafi fue herido y tras su captura por los rebeldes, ejecutado por estos en plena calle el 20 de octubre de 2011.​​ La ONU demandó una investigación sobre su muerte, pues hay bastantes indicios que apuntan a que fue asesinado por los soldados rebeldes que lo custodiaron después de su detención.​ Tras la caída de Muamar Gadafi con ayuda de la OTAN, Libia derivó a una suerte de reino de taifas en el que multitud de grupos armados se resisten a deponer el poder conseguido mediante las armas. En agosto de 2014 los enfrentamientos entre los grupos rivales adquieren carácter de una nueva guerra civil (Guerra de Libia 2014-actualidad).​"
"http://dbpedia.org/ontology/abstract","(18 de noviembre de 1859- 30 de julio de 1940) fue un político argentino. Ocupó numerosos cargos de importancia a lo largo de su carrera política dentro de la provincia de Córdoba, manifestando siempre una fuerte militancia católica y alineándose con el conservadurismo de la provincia, en el PAN primero y en el Partido Demócrata después. El 1° de mayo de 1898 asumió como senador provincial por el departamento Santa María, ocupando una banca en la cámara alta cordobesa durante tres períodos, hasta 1910. En aquel año, fue elegido presidente provisorio del cuerpo. Por entonces la provincia se hallaba intervenida, y Eliseo Cantón, quien estaba al mando de la provincia, se alejó de su cargo y delegó el gobierno en Ordóñez, en su carácter de presidente del senado, el 16 de noviembre de 1909. El 30 de abril de 1910, Ordóñez finalizó su mandato de senador, debiendo abandonar ambos cargos. Lo sucedió Absalón D. Casas, presidente de la Cámara de Diputados. La intervención federal de 1909 impulsó la reorganización de los conservadores de Córdoba, formándose el denominado Partido Constitucional al cual adhirió Ordóñez. Dicho partido sería antecedente del Partido Demócrata, en cuya representación fue diputado nacional entre los años 1912 y 1916. A principios de la década de 1920 presidió la Sociedad Rural de Córdoba. Fue intendente municipal de la ciudad de Córdoba entre 1923 y 1925, siendo después senador provincial en representación de la capital, hasta 1926."
"http://dbpedia.org/ontology/abstract","(?·i) (18 de junio de 1949, Varsovia) es un político polaco, que fue primer ministro de su país, entre 2006 y 2007, y presidente del partido Ley y Justicia. Su vida ha estado conectada siempre con la de su hermano Lech, su gemelo idéntico, así, la primera vez que se hicieron conocer a nivel nacional fue cuando protagonizaron la película de aventuras  ("""") en 1962; años después formaron parte de la oposición al comunismo desde Solidarność de Lech Wałęsa; Fundaron el partido Ley y Justicia, por el que Jarosław fue elegido parlamentario, y su hermano, presidente (alcalde) de Varsovia. Algunos motivos dados por los críticos (especialmente organizaciones de derechos humanos y por los organismos europeos siendo el antiguo alcalde de Varsovia Kaczyński, prohibió que se celebrase la típica marcha que celebra el día del orgullo en la capital. Durante su régimen se caracterizó por un declive democrático, políticos y sociales; un aumento de los poderes del ejecutivo a expensas de los del poder legislativo, el control de los medios de comunicación, la supervisión judicial, el endurecimiento de la ley antiaborto, el rechazo del matrimonio homosexual y la eutanasia, la promesa de un referéndum sobre la pena de muerte, etc.""​ En 2005, Lech fue elegido Presidente de Polonia, por lo que Jarosław, quien semanas antes había logrado la victoria de su partido en las elecciones parlamentarias, declinó el cargo de primer ministro, que le correspondía. Unos meses después, su hermano lo llamó a ocupar el cargo de primer ministro de Polonia, convirtiendo a su país en el primero de Occidente con dos hermanos ocupando las jefaturas del Estado y el gobierno. En 2007, fue sucedido en el cargo de primer ministro por Donald Tusk. En 2007 y tras dos años de gobierno en la que fue la legislatura más corta de la historia democrática de Polonia, el gobierno se vio forzado a convocar elecciones anticipadas después de perder el apoyo de Autodefensa cuando el Primer ministro  destituyó al viceprimer ministro y titular de Agricultura Andrzej Lepper por corrupción. Fue un nacionalista crítico de los principios de la UE, el primer ministro se enfrentó con otros países del bloque en temas como el nuevo tratado europeo contrario a la defensa del medio ambiente y a favor de la pena capital.​ Tras la trágica muerte de Lech, aún presidente, el 10 de abril de 2010 en un accidente de aviación, Jaroslaw intentó catalizar ello y se presentó como candidato a la presidencia de la República frente a Bronisław Komorowski, que ejercía como presidente en funciones. Aunque consiguió pasar el 20 de junio a la segunda vuelta, perdió en las elecciones del 4 de julio del mismo año. Su consigna de campaña fue ""Polonia es lo más importante""; meses después su jefa de campaña Joanna Kluzik-Rostkowska abandonó el partido y adoptó esa consigna como nombre para una nueva agrupación."
"http://dbpedia.org/ontology/abstract","(?·i) (18 de mayo de 1876 - 20 de marzo de 1931) político socialdemócrata alemán que fue ministro de Asuntos Exteriores (1919-1920), y dos veces Canciller de Alemania (1920, 1928-1930), bajo la República de Weimar. Como ministro de Asuntos Exteriores, fue uno de los signatarios alemanes del Tratado de Versalles en 1919."
"http://dbpedia.org/ontology/abstract","(?·i) (26 de noviembre de 1885-30 de marzo de 1970) fue un político alemán."
"http://dbpedia.org/ontology/abstract","(?·i) (6 de enero de 1870- 16 de septiembre de 1944) fue un político alemán, líder de Partido Social Democrático y el Canciller de Alemania desde 1919 a 1920."
"http://dbpedia.org/ontology/abstract","(?·i) (Brandemburgo; 4 de abril de 1882 - Potsdam, 30 de junio de 1934) fue un militar alemán y el último Canciller de Alemania durante la República de Weimar."
"http://dbpedia.org/ontology/abstract","(?·i) (Werl, 29 de octubre de 1879-Obersasbach, 2 de mayo de 1969) fue un político, militar y diplomático alemán de la República de Weimar y del Tercer Reich, cuyas políticas —ver Movimiento Revolucionario Conservador— fueron fundamentales para el ascenso de Adolf Hitler al poder. Conocido por sus intrigas, se le llamó «el diablo con sombrero de copa»."
"http://dbpedia.org/ontology/abstract","(?·i) ([ɡruː hɑːɭɛm brʉntlɑnː]) (Bærum, 20 de abril de 1939) es una política noruega miembro del Partido Laborista. Ocupó el cargo de primera ministra de Noruega en tres ocasiones (1981, 1986-1989 y 1990-1996). Como gobernante, se enfrentó a una crisis económica severa en la década de 1980, cuando implementó medidas de austeridad que le atrajeron impopularidad. Al obtener el cargo nuevamente en 1990, consolidó una imagen positiva en la vida política de su país, pero su objetivo principal, su postura sobre la incorporación de Noruega a la Unión Europea, fue derrotada. En el ámbito internacional, fue directora general de la Organización Mundial de la Salud de 1998 a 2003, y en 2007 fue nombrada Enviada Especial de las Naciones Unidas para el Cambio Climático.​"
"http://dbpedia.org/ontology/abstract","(?·i) (hebreo: שאול מופז, en persa: شائول موفاز ) nació en Teherán, Irán en 1948. Fue Ministro de Transporte de Israel, Viceprimer Ministro, y Ministro de Defensa. Fue también el decimosexto Jefe del Estado Mayor de las Fuerzas de Defensa Israelíes, y el segundo israelí de origen mizrají en ocupar ese puesto. Mofaz ha servido bajo el mando de cuatro Primeros Ministros de Israel distintos, habiendo sido nombrado Jefe de Estado Mayor por el Primer Ministro Benjamín Netanyahu (1996-1999). En 1998 trabajó bajo el Primer Ministro Ehud Barak (1999-2001), luego fue designado como Ministro de Defensa en 2002 por el Primer Ministro Ariel Sharón (2001-2006), sirvió como Ministro de Transporte bajo el Primer Ministro Ehud Ólmert."
"http://dbpedia.org/ontology/abstract","(Charles) Charlie McCreevy (nombre irlandés: Cathal Mac Riabhaigh), nacido el 30 de septiembre de 1949, en un político irlandés. Fue Comisario de la Unión Europea de Mercado Interior y Servicios entre 2004 y 2009.​ Fue elegido para el Dáil Éireann, la cámara baja del parlamento irlandés, en 1977 y ocupó el escaño correspondiente al distrito de Kildare Norte hasta 2004, cuando se convirtió en Comisario Europeo. Ocupó el cargo de Ministro de Asuntos Sociales entre 1992 y 1993, de Comercio y Turismo entre 1993 y 1994 y de Ministro de Finanzas entre 1997 y 2004.​"
"http://dbpedia.org/ontology/abstract","(Concepción, 1862 - Chillán, 2 de febrero de 1893). Abogado y político conservador chileno. Hijo de Guillermo Cox Bustillos y Loreto Méndez Urrejola. Fue educado en el Colegio San Ignacio desde 1880 y en la Universidad de Chile, donde cursó Leyes y egresó de abogado en 1885. Viajó por Europa, donde se dedicó a las Letras. A su regreso, escribió una ""Historia de Concepción"" la que fue premiada (1886) en un concurso municipal. Colaboró en El Independiente, La Unión y en la Revista de Artes y Letras. Fue miembro del Partido Conservador y fue elegido Diputado por Itata y Maule (1891-1894), formando parte de la comisión permanente de Educación y Beneficencia. Su período legislativo quedó inconcluso, al morir ahogado en Chillán, el 2 de febrero de 1893."
